state_name,State_abv,state_fips,emis_tot,emis_xlulc,refor_0,refor_1,refor_2,refor_3,refor_4,refor_area_0,refor_area_1,refor_area_2,refor_area_3,refor_area_4,defor_0,defor_1,defor_2,defor_3,defor_4,defor_area_0,defor_area_1,defor_area_2,defor_area_3,defor_area_4,rice_0,rice_1,rice_2,rice_3,rice_4,rice_area_0,rice_area_1,rice_area_2,rice_area_3,rice_area_4,fire_0,fire_1,fire_2,fire_3,fire_4,fire_area_0,fire_area_1,fire_area_2,fire_area_3,fire_area_4,urban_0,urban_1,urban_2,urban_3,urban_4,urban_area_0,urban_area_1,urban_area_2,urban_area_3,urban_area_4,cov_crop_0,cov_crop_1,cov_crop_2,cov_crop_3,cov_crop_4,cov_crop_area_0,cov_crop_area_1,cov_crop_area_2,cov_crop_area_3,cov_crop_area_4,aly_crop_0,aly_crop_1,aly_crop_2,aly_crop_3,aly_crop_4,aly_crop_area_0,aly_crop_area_1,aly_crop_area_2,aly_crop_area_3,aly_crop_area_4,grass_con_0,grass_con_1,grass_con_2,grass_con_3,grass_con_4,grass_con_area_0,grass_con_area_1,grass_con_area_2,grass_con_area_3,grass_con_area_4,grass_res_0,grass_res_1,grass_res_2,grass_res_3,grass_res_4,grass_res_area_0,grass_res_area_1,grass_res_area_2,grass_res_area_3,grass_res_area_4,nut_mgt_0,nut_mgt_1,nut_mgt_2,nut_mgt_3,nut_mgt_4,nut_mgt_area_0,nut_mgt_area_1,nut_mgt_area_2,nut_mgt_area_3,nut_mgt_area_4,manure_0,manure_1,manure_2,manure_3,manure_4,manure_area_0,manure_area_1,manure_area_2,manure_area_3,manure_area_4,
Illinois,IL,17,,,,199613.6075,4693771.399,4693771.399,5703245.928,,87613.93271,2060179.046,2060179.046,2503255.22,,,,,,,,,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,770695.60,0,0,0,0,261061.2614,,7178598.32,7178598.32,7408254.20,7408254.20,,15117883.33,15117883.33,15601530.79,15601530.79,,293059.66,4688954.54,5861193.18,5861193.18,,136203.84,2179261.44,2724076.80,2724076.80,,0,359788.6339,1705976.442,1705976.442,,0,28918.57449,31003.97306,31003.97306,,167202.45,164928.50,130468.08,2725.40,,1970.60,74624.60,93052.17,94335.13,,2595411.751,2925357.303,4669426.495,5429062.49,-9999,-9999,-9999,-9999,-9999,,596839,674807,849748,849748,-9999,-9999,-9999,-9999,-9999,
Indiana,IN,18,,,,330015.1618,7760070.805,7760070.805,9429004.623,,112247.9013,2639429.222,2639429.222,3207082.894,,,,,,,,,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,412730.95,0,0,0,0,158260.6774,,3820429.07,3820429.07,3942651.26,3942651.26,,8045693.38,8045693.38,8303089.14,8303089.14,,155965.49,2495447.92,3119309.90,3119309.90,,72487.29,1159796.58,1449745.72,1449745.72,,0,514658.9276,808318.0929,808318.0929,,48.01257735,11229.65029,11476.54566,11476.54566,,67138.60,66225.52,52388.25,1094.36,,729.45,27623.32,34444.54,34919.44,,1564992.806,1764800.5,2550554.825,3014394.66,-9999,-9999,-9999,-9999,-9999,,498068,609062,778428,778428,-9999,-9999,-9999,-9999,-9999,
Iowa,IA,19,,,,149308.0136,3510871.291,3510871.291,4265943.245,,82708.0479,1944820.669,1944820.669,2363087.083,,,,,,,,,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,135729.48,0,0,0,0,54213.68529,,7745113.82,7745113.82,7992893.52,7992893.52,,16310945.67,16310945.67,16832761.27,16832761.27,,316187.13,5058994.11,6323742.64,6323742.64,,146952.68,2351242.84,2939053.56,2939053.56,,0,1621221.849,5668901.219,5668901.219,,0,86395.63902,87376.80564,87376.80564,,507438.99,500537.82,395954.64,8271.26,,5553.65,210310.43,262243.86,265859.55,,3070372.003,3460929.664,5452044.983,6352265.09,-9999,-9999,-9999,-9999,-9999,,2623710,3015268,3793206,3793206,-9999,-9999,-9999,-9999,-9999,
Kansas,KS,20,,,,150433.9091,3537345.919,3537345.919,4298111.688,,67623.82988,1590126.057,1590126.057,1932109.425,,,,,,,,,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,106731.72,0,0,0,0,36153.72763,,7442761.82,7442761.82,7680868.75,7680868.75,,15674202.65,15674202.65,16175647.73,16175647.73,,303843.89,4861502.24,6076877.80,6076877.80,,141215.97,2259455.56,2824319.45,2824319.45,,10333.9839,7720081.756,7029505.521,7029505.521,,24.84299413,141601.2125,141601.2125,141601.2125,,579180.15,571303.30,451934.27,9440.64,,9000.14,340825.14,424987.48,430847.00,,1956947.269,2207197.189,3065407.211,3648124.42,-9999,-9999,-9999,-9999,-9999,,287327,334152,357242,357242,-9999,-9999,-9999,-9999,-9999,
Kentucky,KY ,21,,,,427292.2304,10047471.59,10047471.59,12208349.44,,131750.0977,3098009.44,3098009.44,3764288.505,,,,,,,,,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,267515.25,0,0,0,0,89666.14603,,1930360.81,1930360.81,1992116.42,1992116.42,,4065274.07,4065274.07,4195329.28,4195329.28,,78805.20,1260883.21,1576104.02,1576104.02,,36625.89,586014.25,732517.81,732517.81,,1529.826077,1318532.986,1901294.901,1901294.901,,0,28630.02799,32602.79704,32602.79704,,172059.12,169719.12,134257.73,2804.56,,2072.23,78472.86,97850.72,99199.84,,578018.308,652129.091,844981.5351,1018417.80,-9999,-9999,-9999,-9999,-9999,,25863,78429,86640,86640,-9999,-9999,-9999,-9999,-9999,
Louisiana,LA,22,,,,281322.8133,6615105.009,6615105.009,8037794.665,,93790.94356,2205427.044,2205427.044,2679741.245,,,,,,,,,,,0,197598.32,411981.06,503532.41,564566.64,0.00,419000.00,419000.00,419000.00,419000.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,524443.27,0,0,0,0,126635.0718,,1045923.33,1045923.33,1079384.24,1079384.24,,2202678.88,2202678.88,2273146.42,2273146.42,,42698.86,683181.69,853977.12,853977.12,,19844.93,317518.86,396898.58,396898.58,,391113.5965,1002795.493,908998.6245,908998.6245,,5836.515398,11878.72167,11878.72167,11878.72167,,94134.96,92854.72,73453.51,1534.40,,755.01,28591.33,35651.59,36143.13,,467514.5377,527774.2659,585185.2643,727611.44,-9999,-9999,-9999,-9999,-9999,,650,1836,2610,2610,-9999,-9999,-9999,-9999,-9999,
Maine,ME,23,,,,112202.7322,2638367.103,2638367.103,3205792.349,,45637.50539,1073133.341,1073133.341,1303928.725,,,,,,,,,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,59187.66,0,0,0,0,25673.48868,,77323.84,77323.84,79797.57,79797.57,,162841.38,162841.38,168050.96,168050.96,,3156.67,50506.79,63133.49,63133.49,,1467.11,23473.78,29342.23,29342.23,,34926.26377,82996.22652,75233.14206,75233.14206,,269.6732713,754.1768752,754.1768752,754.1768752,,5458.40,5384.17,4259.19,88.97,,47.94,1815.26,2263.51,2294.72,,21679.85833,24477.9665,25987.8153,32617.59,-9999,-9999,-9999,-9999,-9999,,0,2157,2157,2157,-9999,-9999,-9999,-9999,-9999,
Maryland,MD,24,74057508.36,67809371.21,0,114628.5262,2695407.916,2695407.916,3275100.748,0,24920.52147,585988.262,585988.262,712014.8992,0,102613.0762,102613.0762,102613.0762,102613.0762,0,1697.618462,1697.618462,1697.618462,1697.618462,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,348385.72,0,0,0,0,103396.0185,,508654.12,508654.12,524926.86,524926.86,,1071208.25,1071208.25,1105478.07,1105478.07,,20765.34,332245.37,415306.72,415306.72,,9651.00,154415.98,193019.98,193019.98,0,11292.71,145539.09,132061.74,132061.74,0,0,1924.453517,2038.776634,2038.776634,,11678.43,11519.60,9112.68,190.36,0,129.58,4907.21,6118.98,6203.34,84982.19861,87910.23287,99246.47836,108438.169,135254.55,-9999,-9999,-9999,-9999,-9999,0,1000,3816,5130,5130,-9999,-9999,-9999,-9999,-9999,
Massachusetts,MA,25,73769871.09,66922848.31,0,28980.06208,681445.4597,681445.4597,828001.7736,0,6863.645152,161393.7131,161393.7131,196104.1472,0,29718.04746,29718.04746,29718.04746,29718.04746,0,769.2175585,769.2175585,769.2175585,769.2175585,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,592627.83,0,0,0,0,223663.0861,,34822.03,34822.03,35936.05,35936.05,,73334.01,73334.01,75680.09,75680.09,,1421.58,22745.24,28431.55,28431.55,,660.70,10571.19,13213.98,13213.98,0,4262.22,13205.90,11970.68,11970.68,0,0,129.6029616,129.6029616,129.6029616,,874.16,862.27,682.11,14.25,0,8.24,311.95,388.98,394.34,18378.28635,19012.77528,21466.20634,22930.26078,28741.38,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,-9999,-9999,-9999,-9999,-9999,
Michigan,MI,26,,,,376190.3761,8845847.986,8845847.986,10748296.46,,147068.5195,3458211.186,3458211.186,4201957.699,,,,,,,,,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,626681.68,0,0,0,0,273067.6838,,2021676.59,2021676.59,2086353.55,2086353.55,,4257581.98,4257581.98,4393789.45,4393789.45,,82533.08,1320529.33,1650661.66,1650661.66,,38358.48,613735.67,767169.59,767169.59,,733979.3743,2555603.71,2316988.44,2316988.44,,8053.161789,18463.09455,18463.09455,18463.09455,,179217.94,176780.57,139843.76,2921.25,,1173.51,44439.50,55413.25,56177.27,,502467.4555,567128.8022,661023.5509,813396.84,-9999,-9999,-9999,-9999,-9999,,114391,190132,206526,206526,-9999,-9999,-9999,-9999,-9999,
Minnesota,MN,27,129347776.9,79665598.76,0,204608.0478,4811212.096,4811212.096,5845944.224,0,114861.0806,2700876.268,2700876.268,3281745.161,0,148889.6576,154968.9259,154968.9259,154968.9259,0,9433.904107,9819.096973,9819.096973,9819.096973,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,293642.02,0,0,0,0,122921.7426,,6271752.70,6271752.70,6472397.01,6472397.01,,13208097.38,13208097.38,13630647.45,13630647.45,,256038.52,4096616.36,5120770.45,5120770.45,,118997.72,1903963.45,2379954.32,2379954.32,0,900660.57,4769681.07,4735746.53,4735746.53,0,11452.10809,55426.2854,55426.2854,55426.2854,,425050.18,419269.50,331666.66,6928.32,0,3522.88,133407.55,166350.82,168644.38,1831711.128,1893486.937,2135885.768,2884207.8,3449815.75,-9999,-9999,-9999,-9999,-9999,0,641305,764470,879442,879442,-9999,-9999,-9999,-9999,-9999,
Mississippi,MS,28,,,,460598.6302,10830647.79,10830647.79,13159960.86,,141732.8072,3332745.724,3332745.724,4049508.777,,,,,,,,,,,0,72311.24,150764.75,184268.03,206603.54,0.00,153333.33,153333.33,153333.33,153333.33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,247486.25,0,0,0,0,68966.56991,,1326603.62,1326603.62,1369043.99,1369043.99,,2793782.00,2793782.00,2883159.96,2883159.96,,54157.37,866517.92,1083147.40,1083147.40,,25170.44,402727.11,503408.88,503408.88,,118163.7083,723727.6409,666727.8717,666727.8717,,2003.633394,10918.4199,10918.4199,10918.4199,,67165.21,66251.76,52409.01,1094.79,,693.97,26279.94,32769.44,33221.24,,298855.3541,337424.5835,359014.2783,450388.30,-9999,-9999,-9999,-9999,-9999,,37086,107646,112198,112198,-9999,-9999,-9999,-9999,-9999,
Missouri,MO,29,,,,389792.3262,9165688.128,9165688.128,11136923.61,,154399.0387,3630583.109,3630583.109,4411401.105,,,,,,,,,,,0,92275.43,192388.93,235142.02,263644.09,0.00,195666.67,195666.67,195666.67,195666.67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,482099.16,0,0,0,0,162157.6742,,4104791.45,4104791.45,4236110.88,4236110.88,,8644550.85,8644550.85,8921105.11,8921105.11,,167574.33,2681189.23,3351486.54,3351486.54,,77882.66,1246122.62,1557653.27,1557653.27,,22302.32547,5465712.914,5945018.067,5945018.067,,0,98132.49537,98132.49537,98132.49537,,513986.60,506996.38,401063.74,8377.98,,6237.28,236198.69,294524.89,298585.66,,1158570.195,1306644.199,1839990.071,2184425.58,-9999,-9999,-9999,-9999,-9999,,545850,585413,660404,660404,-9999,-9999,-9999,-9999,-9999,
Montana,MT,30,,,,237557.2884,5585989.953,5585989.953,6787351.097,,345337.143,8120356.248,8120356.248,9866775.514,,,,,,,,,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,42713.73588,42713.73588,1680835.357,-9999,0,63897.70371,63897.70371,1948661.267,0,0,0,0,32569.22,0,0,0,0,16968.19016,,2919053.98,2919053.98,3012439.61,3012439.61,,6147428.17,6147428.17,6344095.12,6344095.12,,119167.69,1906683.01,2383353.76,2383353.76,,55384.96,886159.32,1107699.15,1107699.15,,2314606.952,3210942.796,2910606.008,2910606.008,,12566.13368,46368.02639,46368.02639,46368.02639,,262988.51,259411.86,205209.93,4286.71,,2947.14,111604.90,139164.28,141083.01,,494359.9671,558100.4003,612439.2762,763182.50,-9999,-9999,-9999,-9999,-9999,,8488,20067,29547,29547,-9999,-9999,-9999,-9999,-9999,
Nebraska,NE,31,,,,98474.86657,2315566.148,2315566.148,2813567.616,,77221.74511,1815814.178,1815814.178,2206335.575,,,,,,,,,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,96205.34367,96205.34367,96205.34367,-9999,0,143918.5878,143918.5878,143918.5878,0,0,0,0,71144.05,0,0,0,0,28655.47624,,6194534.06,6194534.06,6392708.01,6392708.01,,13045477.55,13045477.55,13462825.13,13462825.13,,252886.14,4046178.28,5057722.85,5057722.85,,117532.60,1880521.61,2350652.01,2350652.01,,101002.8411,3600340.651,4857297.61,4857297.61,,742.0676189,77625.39357,77625.39357,77625.39357,,383177.66,377966.44,298993.53,6245.80,,4933.85,186839.40,232976.96,236189.14,,2505559.876,2826786.587,3670323.65,4421960.09,-9999,-9999,-9999,-9999,-9999,,333419,360744,431377,431377,-9999,-9999,-9999,-9999,-9999,
Nevada,NV,32,,,,33496.32895,787642.2493,787642.2493,957037.97,,60285.50122,1417570.5,1417570.5,1722442.892,,,,,,,,,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,37205.97103,37403.57796,38537.89944,-9999,0,194148.9286,194240.69,282460.2176,0,0,0,0,98838.06,0,0,0,0,45771.99831,,114775.94,114775.94,118447.82,118447.82,,241714.21,241714.21,249447.07,249447.07,,4685.62,74969.95,93712.44,93712.44,,2177.71,34843.40,43554.25,43554.25,,179844.1263,218158.8166,197753.2465,197753.2465,,311.3423873,4465.587246,4465.587246,4465.587246,,16250.91,16029.90,12680.59,264.89,,283.83,10748.39,13402.56,13587.35,,26166.79173,29543.24671,31601.33197,39598.09,-9999,-9999,-9999,-9999,-9999,,24710,65520,71807,71807,-9999,-9999,-9999,-9999,-9999,
New Hampshire,NH,33,,,,41830.25839,983608.6472,983608.6472,1195150.24,,12141.06006,285488.3551,285488.3551,346887.4302,,,,,,,,,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,96980.68,0,0,0,0,42842.17244,,20198.88,20198.88,20845.08,20845.08,,42538.16,42538.16,43899.03,43899.03,,824.60,13193.61,16492.01,16492.01,,383.25,6131.93,7664.91,7664.91,,5318.627305,10316.36148,9351.416576,9351.416576,,0,86.9831536,86.9831536,86.9831536,,789.89,779.14,616.35,12.88,,5.53,209.36,261.06,264.66,,3725.705954,4206.434297,4506.120663,5644.58,-9999,-9999,-9999,-9999,-9999,,0,504,504,504,-9999,-9999,-9999,-9999,-9999,
